"pic","word","condition","rt","accuracy","participant"
"plane","ship","category",719.3878,1,4
"carrot","drip","unrelated_med",774.263,1,4
"ship","plant","mediated",880.0227,1,4
"camel","plane","unrelated_cat",918.9342,1,4
"pear","lemming","mediated",1010.7256,1,4
"leg","beans","unrelated_cat",787.2336,1,4
"plane","hat","unrelated_cat",691.4512,1,4
"sheep","hanger","unrelated_med",874.0363,1,4
"pear","lemon","category",1014.7166,0,5
"ship","bell","unrelated_med",665.5102,1,5
"harp","drug","mediated",492.9025,1,5
"lake","mountain","category",1012.7211,1,5
"hat","coat","category",738.3447,1,5
"plane","count","unrelated_med",464.966,1,5
"beans","carrot","category",548.7755,1,5
"drill","hammer","category",490.907,1,5
"tie","hammer","unrelated_cat",595.6689,1,5
"ear","legend","mediated",502.8798,1,5
"chair","moon","unrelated_cat",520.839,1,5
"knife","camel","unrelated_cat",676.4853,1,5
"pear","lemming","mediated",432.0408,0,5
"coat","ham","mediated",574.7166,1,5
"hammer","pig","unrelated_cat",593.6735,1,5
"ear","couch","unrelated_cat",553.7642,1,5
"hand","mound","mediated",515.8503,1,5
"leg","beans","unrelated_cat",785.2381,1,5
"whistle","flute","category",532.8118,1,5
"fork","knife","category",779.2517,1,5
"horse","camera","mediated",567.7324,1,5
"bed","soap","unrelated_med",517.8458,1,5
"drum","pear","unrelated_cat",525.8277,1,5
"car","hand","unrelated_cat",594.6712,1,5
"hand","mouth","category",540.7937,1,5
"couch","bell","mediated",689.4558,0,5
"ship","drum","unrelated_cat",799.2063,1,5
"drum","harp","category",459.9773,1,5
"coat","harbour","unrelated_med",730.3628,1,5
"plane","hat","unrelated_cat",664.5125,1,5
"star","truffle","unrelated_med",1205.2834,1,5
"ear","leg","category",1045.6463,1,5
"mouth","hand","category",926.9161,1,5
"flute","stalk","unrelated_med",446.0091,1,5
"moon","table","unrelated_cat",563.7415,1,5
"beans","hamper","unrelated_med",546.78,1,5
"leg","ear","category",597.6644,1,5
"mouth","tie","unrelated_cat",549.7732,1,5
"bed","count","mediated",844.1043,1,5
"harp","drum","category",655.5329,1,5
"lake","chair","unrelated_cat",746.3265,1,5
"hammer","drill","category",521.8367,1,5
"tie","soap","mediated",675.4875,1,5
"couch","lake","unrelated_cat",507.8685,0,5
"truck","chain","unrelated_med",570.7256,1,5
"moon","star","category",752.3129,1,5
"chair","tablet","mediated",597.6644,1,5
"mouth","hanger","mediated",909.9546,1,5
"sock","tie","category",674.4898,1,5
"beans","carriage","mediated",533.8095,1,5
"moon","plant","unrelated_med",597.6644,1,5
"drum","mouse","unrelated_med",667.5057,1,5
"hand","sheep","unrelated_cat",554.7619,1,5
"sock","whiskey","unrelated_med",474.9433,1,5
"beans","ear","unrelated_cat",616.6213,1,5
"whistle","mood","unrelated_med",652.5397,1,5
"fork","coat","unrelated_cat",456.9841,1,5
"horse","ship","unrelated_cat",692.449,1,5
"table","coal","unrelated_med",850.0907,1,5
"carrot","beach","mediated",951.8594,1,5
"hand","carriage","unrelated_med",454.9887,1,5
"camel","plane","unrelated_cat",1156.3946,1,5
"hammer","drip","mediated",610.6349,1,5
"plane","ship","category",619.6145,1,5
"flute","whiskey","mediated",651.542,1,5
"mountain","lace","mediated",842.1088,1,5
"camel","horse","category",563.7415,1,5
"sheep","pig","category",631.5873,1,5
"lake","mouse","mediated",890.9977,1,5
